day_of_week,weather_main,temp,rain_1h,holiday,destination_type,preferred_arrival_hour,traffic_level,best_departure_hour
Wednesday,Drizzle,289.64,0.69,No,market,20,Medium,17
Tuesday,Clear,310.78,0.0,Yes,mall,13,Medium,11
Thursday,Rain,287.39,0.97,No,office,8,Medium,5
Wednesday,Clouds,295.91,0.13,No,market,10,Low,10
Saturday,Clear,297.41,0.0,No,station,8,Low,8
Friday,Clear,311.97,0.0,No,residential,19,Low,19
Monday,Clear,294.98,0.0,No,market,18,Medium,16
Friday,Drizzle,287.61,1.1,No,office,10,High,7
Friday,Haze,300.64,0.0,Yes,residential,9,Medium,8
Wednesday,Clouds,290.02,0.04,No,residential,19,Low,19
Friday,Clouds,300.69,0.13,No,mall,18,Medium,17
Monday,Rain,290.52,1.96,No,mall,17,Medium,15
Thursday,Drizzle,286.25,0.28,No,mall,20,Medium,18
Tuesday,Clouds,299.09,0.15,No,market,11,Low,10
Friday,Clear,294.94,0.0,No,office,8,Medium,5
Monday,Rain,300.18,0.66,No,office,10,Medium,7
Monday,Clouds,300.69,0.15,Yes,office,10,Medium,8
Thursday,Rain,293.32,2.19,No,residential,7,Medium,5
Monday,Rain,289.72,1.23,No,mall,17,Medium,15
Friday,Clear,294.95,0.0,No,residential,9,Low,9
Friday,Clear,293.9,0.0,No,office,8,Medium,6
Tuesday,Haze,288.61,0.0,No,office,8,Medium,6
Friday,Haze,299.08,0.0,No,market,12,Low,11
Monday,Clouds,290.13,0.07,No,office,8,Medium,5
Monday,Clear,301.3,0.0,No,market,11,Low,11
Tuesday,Rain,287.68,2.2,No,residential,18,Medium,16
Sunday,Clear,298.2,0.0,No,mall,21,Medium,19
Tuesday,Clouds,291.55,0.12,No,office,10,Medium,8
Sunday,Clouds,304.57,0.11,No,office,12,Low,12
Monday,Rain,289.09,0.59,No,office,8,Medium,5
Tuesday,Clouds,291.59,0.05,No,residential,18,Low,18
Monday,Clear,308.8,0.0,No,mall,17,Medium,16
Thursday,Clouds,300.78,0.02,No,residential,8,Low,7
Tuesday,Clear,308.31,0.0,No,office,9,Medium,7
Saturday,Clear,308.15,0.0,No,market,10,Low,10
Monday,Clouds,305.2,0.13,Yes,office,8,Medium,6
Friday,Clouds,291.96,0.18,No,station,8,Medium,6
Tuesday,Haze,294.22,0.0,No,office,8,Medium,5
Thursday,Clear,308.26,0.0,No,market,11,Low,11
Tuesday,Clouds,290.75,0.01,No,mall,20,Medium,19
Wednesday,Clouds,298.77,0.11,No,residential,8,Low,8
Tuesday,Clouds,306.84,0.07,Yes,office,9,Medium,7
Saturday,Fog,286.74,0.0,Yes,market,17,High,14
Monday,Haze,294.83,0.0,No,office,9,Medium,7
Friday,Fog,292.34,0.0,No,office,10,Medium,7
Monday,Rain,299.71,0.93,No,office,8,Medium,5
Tuesday,Haze,293.76,0.0,No,market,20,Medium,18
Thursday,Clouds,291.09,0.05,No,mall,17,Medium,16
Monday,Fog,286.3,0.0,No,mall,18,Medium,16
Wednesday,Rain,297.86,0.72,No,office,8,Medium,5
Tuesday,Clear,310.47,0.0,No,office,9,Medium,7
Sunday,Clouds,302.75,0.15,No,residential,9,Low,9
Tuesday,Haze,290.44,0.0,No,market,19,Medium,17
Tuesday,Clear,294.69,0.0,No,market,19,Medium,16
Friday,Clouds,303.85,0.1,No,market,18,Medium,16
Friday,Rain,289.68,1.73,No,mall,13,Medium,11
Friday,Haze,285.92,0.0,No,mall,18,Medium,17
Tuesday,Clear,303.52,0.0,No,office,9,Medium,7
Wednesday,Rain,286.53,1.71,No,office,8,High,5
Friday,Clear,312.51,0.0,No,market,18,Medium,16
Thursday,Clear,305.88,0.0,No,office,8,Medium,6
Saturday,Clear,294.68,0.0,No,market,19,Medium,16
Friday,Clear,312.21,0.0,No,mall,20,Medium,19
Monday,Thunderstorm,287.5,1.21,No,office,8,High,5
Thursday,Rain,289.15,1.14,No,market,18,Medium,15
Tuesday,Clear,307.5,0.0,No,office,10,Medium,8
Saturday,Clouds,303.47,0.03,Yes,residential,19,Low,19
Thursday,Clouds,303.12,0.06,No,market,20,Medium,18
Tuesday,Rain,294.97,1.79,No,residential,18,Medium,16
Saturday,Haze,293.09,0.0,Yes,office,10,Medium,8
Tuesday,Clear,311.68,0.0,No,mall,12,Low,12
Monday,Rain,295.72,1.82,No,residential,7,Medium,4
Sunday,Clouds,291.63,0.15,No,mall,11,Low,11
Sunday,Clouds,293.45,0.08,No,station,6,Low,6
Saturday,Clear,302.11,0.0,No,market,17,Medium,15
Monday,Clear,299.81,0.0,Yes,office,8,Medium,5
Thursday,Clear,305.53,0.0,No,office,10,Medium,8
Thursday,Clear,312.26,0.0,No,station,8,Medium,6
Saturday,Thunderstorm,300.26,1.69,No,office,12,Medium,10
Wednesday,Haze,286.99,0.0,No,office,9,Medium,7
Wednesday,Clouds,306.88,0.12,No,residential,7,Low,7
Tuesday,Fog,285.34,0.0,No,office,8,Medium,5
Wednesday,Fog,287.02,0.0,No,residential,19,Medium,17
Saturday,Clear,303.44,0.0,No,residential,20,Low,20
Thursday,Clear,304.31,0.0,No,residential,10,Low,10
Thursday,Clear,296.5,0.0,No,market,20,Medium,18
Saturday,Clear,295.83,0.0,No,market,11,Low,10
Thursday,Clouds,301.89,0.2,No,station,6,Low,4
Friday,Drizzle,286.46,0.64,No,mall,20,Medium,18
Thursday,Clouds,293.75,0.13,No,station,7,Medium,5
Friday,Clear,310.94,0.0,No,station,18,Medium,16
Saturday,Rain,287.0,0.74,No,station,17,Medium,14
Wednesday,Clouds,302.97,0.11,No,residential,9,Low,9
Monday,Clouds,300.72,0.18,No,residential,19,Low,18
Saturday,Rain,298.03,1.87,No,office,12,Medium,10
Sunday,Rain,298.21,1.18,No,market,12,Medium,10
Saturday,Rain,299.15,0.78,No,office,10,Medium,8
Monday,Haze,299.52,0.0,No,market,17,Medium,15
Monday,Clouds,291.28,0.13,No,station,17,Medium,15
Saturday,Clear,294.32,0.0,No,market,10,Low,10
Monday,Rain,290.46,1.27,No,residential,8,Medium,6
Saturday,Clouds,292.44,0.15,No,station,19,Low,19
Tuesday,Clouds,294.79,0.03,No,station,17,Medium,14
Saturday,Rain,296.41,1.51,No,market,20,High,17
Friday,Rain,300.69,2.17,No,mall,21,Medium,19
Friday,Drizzle,296.12,0.46,No,office,9,Medium,6
Tuesday,Drizzle,290.71,0.91,No,office,8,Medium,5
Sunday,Clouds,291.35,0.0,No,mall,21,Medium,19
Friday,Clear,295.25,0.0,No,office,8,Medium,6
Saturday,Clear,302.91,0.0,No,station,8,Low,8
Wednesday,Clear,306.36,0.0,No,office,9,Medium,7
Thursday,Rain,290.49,0.74,No,market,11,Low,10
Sunday,Clear,294.06,0.0,No,office,11,Low,11
Saturday,Rain,300.39,1.76,No,mall,12,Medium,10
Sunday,Haze,299.05,0.0,No,office,10,Medium,9
Monday,Drizzle,292.3,0.77,No,office,10,Medium,7
Friday,Clear,301.52,0.0,No,residential,20,Low,20
Saturday,Clouds,306.93,0.08,No,market,11,Low,10
Sunday,Clouds,302.23,0.09,No,office,12,Low,12
Wednesday,Rain,293.44,2.03,No,market,17,Medium,14
Saturday,Clouds,292.44,0.13,No,office,10,Low,10
Thursday,Clear,300.87,0.0,No,mall,13,Low,13
Monday,Drizzle,296.3,0.6,No,mall,21,Medium,19
Thursday,Clear,304.41,0.0,No,market,11,Low,10
Sunday,Clouds,299.08,0.14,No,market,10,Low,10
Friday,Clear,311.37,0.0,No,market,11,Low,11
Sunday,Haze,293.68,0.0,No,residential,10,Medium,9
Thursday,Clear,305.11,0.0,No,office,8,Medium,6
Friday,Haze,293.12,0.0,No,office,9,Medium,7
Friday,Rain,289.0,1.42,No,mall,19,Medium,16
Tuesday,Clear,311.68,0.0,No,market,19,Medium,16
Friday,Fog,288.29,0.0,No,station,6,Low,3
Wednesday,Clouds,297.42,0.1,No,office,10,Medium,8
Wednesday,Thunderstorm,287.65,2.29,No,residential,20,Medium,18
Wednesday,Clouds,301.82,0.18,No,office,8,Medium,6
Friday,Haze,294.11,0.0,Yes,mall,19,High,16
Tuesday,Fog,283.8,0.0,No,station,7,Medium,4
Tuesday,Haze,288.14,0.0,No,residential,20,Medium,19
Tuesday,Haze,296.83,0.0,No,office,8,Medium,5
Saturday,Clouds,305.33,0.11,Yes,office,10,Low,9
Tuesday,Clear,308.23,0.0,No,office,9,Medium,6
Tuesday,Clear,304.51,0.0,No,station,17,Medium,15
Saturday,Haze,295.98,0.0,Yes,office,12,Low,12
Thursday,Clear,305.92,0.0,No,mall,19,Medium,17
Sunday,Haze,297.1,0.0,No,residential,7,Medium,6
Saturday,Clear,305.46,0.0,No,office,10,Low,10
Sunday,Haze,287.64,0.0,No,office,11,Low,11
Thursday,Clear,300.28,0.0,No,office,8,Medium,6
Wednesday,Rain,288.44,0.87,No,mall,19,Medium,17
Saturday,Clear,301.53,0.0,No,mall,12,Medium,11
Monday,Haze,295.29,0.0,No,residential,9,Medium,8
Monday,Clouds,299.0,0.2,No,mall,21,Medium,19
Thursday,Fog,279.09,0.0,No,residential,9,Medium,7
Saturday,Clouds,305.13,0.19,No,residential,18,Low,17
Wednesday,Clouds,303.47,0.09,No,station,18,Medium,16
Saturday,Clear,299.75,0.0,No,office,12,Low,12
Thursday,Drizzle,297.95,0.52,No,mall,20,Medium,18
Tuesday,Rain,301.45,1.88,No,office,10,High,7
Monday,Rain,285.73,1.86,No,station,6,Low,4
Thursday,Drizzle,287.97,1.08,No,market,10,Medium,8
Friday,Clear,299.48,0.0,No,market,10,Low,10
Thursday,Haze,289.54,0.0,No,mall,13,Low,12
Wednesday,Clear,312.26,0.0,No,residential,20,Low,20
Wednesday,Fog,283.1,0.0,No,station,17,Medium,14
Monday,Haze,299.71,0.0,No,market,19,Medium,17
Thursday,Haze,297.92,0.0,No,market,11,Low,11
Tuesday,Haze,299.06,0.0,No,office,8,Medium,6
Thursday,Rain,293.83,1.21,No,office,8,High,5
Friday,Clouds,303.04,0.08,No,mall,11,Low,10
Tuesday,Clouds,295.45,0.15,No,office,9,Medium,7
Thursday,Clear,305.37,0.0,No,mall,11,Low,10
Wednesday,Fog,284.49,0.0,No,residential,10,Medium,8
Friday,Clouds,291.08,0.14,No,station,19,Medium,17
Sunday,Drizzle,299.89,0.53,No,residential,9,Medium,7
Friday,Fog,290.19,0.0,No,station,6,Low,4
Friday,Clear,310.93,0.0,No,office,10,Medium,8
Friday,Rain,294.18,1.04,No,office,10,High,7
Wednesday,Fog,291.36,0.0,No,mall,21,Medium,18
Tuesday,Clear,310.31,0.0,No,station,18,Medium,15
Thursday,Rain,295.26,1.94,No,market,11,Medium,9
Tuesday,Clear,299.62,0.0,No,office,8,Medium,5
Friday,Clear,302.81,0.0,No,station,19,Medium,17
Monday,Clear,295.98,0.0,No,station,18,Medium,16
Monday,Clouds,292.95,0.18,No,mall,11,Low,10
Thursday,Clouds,298.6,0.11,No,station,17,Medium,15
Friday,Haze,290.72,0.0,No,market,12,Low,11
Sunday,Rain,298.83,0.57,Yes,market,20,High,17
Tuesday,Rain,299.54,1.48,No,mall,12,Medium,10
Wednesday,Rain,294.7,2.08,No,market,11,Medium,9
Friday,Fog,288.3,0.0,No,office,10,Medium,7
Wednesday,Clear,309.46,0.0,No,residential,10,Low,9
Sunday,Haze,286.49,0.0,No,office,12,Low,12
Wednesday,Clear,296.15,0.0,No,residential,9,Low,8
Wednesday,Clear,305.12,0.0,No,market,11,Low,11
Monday,Clear,296.61,0.0,No,mall,12,Low,12
Wednesday,Fog,286.41,0.0,No,market,19,Medium,16
Tuesday,Clear,304.44,0.0,No,residential,10,Low,10
Tuesday,Clouds,304.91,0.16,No,office,8,Medium,6
Monday,Clear,298.69,0.0,No,market,11,Low,10
Thursday,Rain,294.8,1.06,No,office,9,High,6
Wednesday,Clear,309.94,0.0,No,office,10,Medium,8
Friday,Rain,297.51,0.5,No,market,10,Medium,8
Monday,Rain,298.2,0.89,No,residential,20,Medium,18
Tuesday,Clouds,299.17,0.08,No,mall,19,Medium,18
Tuesday,Rain,298.23,0.54,No,office,8,Medium,5
Wednesday,Clouds,299.48,0.06,No,mall,13,Low,13
Wednesday,Clouds,304.65,0.0,No,market,10,Low,10
Saturday,Clouds,294.44,0.17,No,residential,8,Low,8
Tuesday,Clear,294.17,0.0,Yes,market,12,Medium,11
Sunday,Clouds,303.06,0.09,No,mall,21,Medium,19
Thursday,Clouds,297.23,0.03,No,mall,19,Medium,17
Saturday,Clouds,290.05,0.01,Yes,office,11,Low,11
Friday,Clear,309.12,0.0,No,mall,11,Low,10
Thursday,Clear,311.86,0.0,No,office,9,Medium,6
Thursday,Rain,296.39,1.26,No,residential,8,Medium,6
Saturday,Haze,292.42,0.0,No,office,11,Low,11
Wednesday,Clouds,293.9,0.02,Yes,office,8,Medium,6
Wednesday,Clouds,293.39,0.08,No,residential,17,Low,17
Monday,Clouds,304.61,0.14,No,residential,9,Low,8
Thursday,Clear,293.11,0.0,No,mall,17,Medium,16
Thursday,Rain,299.25,2.01,No,office,9,High,6
Monday,Rain,296.89,1.31,Yes,residential,10,Medium,8
Wednesday,Drizzle,295.4,0.22,No,mall,18,Medium,16
Monday,Clear,298.05,0.0,Yes,residential,20,Low,20
Thursday,Rain,294.57,1.69,No,residential,8,Medium,6
Thursday,Clear,296.44,0.0,No,office,8,Medium,6
Saturday,Rain,300.8,1.17,No,office,12,Medium,9
Thursday,Clouds,297.46,0.02,No,residential,10,Low,10
Monday,Clear,302.7,0.0,No,station,6,Low,4
Wednesday,Rain,297.96,1.24,No,office,8,High,5
Thursday,Clouds,290.25,0.14,No,station,18,Medium,16
Saturday,Clear,297.29,0.0,Yes,market,19,Medium,16
Saturday,Clear,301.21,0.0,No,residential,9,Low,9
Thursday,Clear,311.62,0.0,No,residential,17,Low,17
Tuesday,Rain,300.26,0.64,No,residential,20,Medium,18
Friday,Rain,293.64,1.89,No,residential,17,Medium,14
Saturday,Clear,295.4,0.0,No,office,10,Low,10
Thursday,Clouds,297.49,0.1,No,market,11,Low,11
Thursday,Clear,293.94,0.0,No,office,8,Medium,5
Friday,Rain,291.46,0.64,No,market,11,Low,10
Friday,Clouds,298.49,0.16,No,residential,9,Low,9
Thursday,Clouds,302.79,0.12,No,mall,13,Low,12
Friday,Clouds,293.9,0.02,No,office,8,Medium,6
Friday,Clouds,298.4,0.11,No,mall,19,Medium,17
Tuesday,Clouds,293.81,0.14,No,station,19,Medium,16
Thursday,Haze,291.37,0.0,No,market,19,Medium,17
Saturday,Haze,298.36,0.0,No,station,19,Medium,18
Friday,Clear,302.06,0.0,No,station,17,Medium,15
Wednesday,Clear,295.85,0.0,No,office,9,Medium,7
Thursday,Clear,303.93,0.0,Yes,office,9,Medium,7
Tuesday,Haze,299.09,0.0,No,mall,17,Medium,16
Wednesday,Clouds,299.79,0.08,No,office,10,Medium,8
Monday,Clouds,302.86,0.14,No,office,8,Medium,6
Sunday,Clouds,293.96,0.1,No,market,19,Medium,17
Wednesday,Rain,290.46,1.37,No,station,6,Low,4
Sunday,Fog,285.94,0.0,No,mall,18,Medium,15
Wednesday,Haze,289.38,0.0,No,residential,10,Medium,8
Wednesday,Rain,300.83,0.61,No,office,9,Medium,6
Thursday,Clouds,306.26,0.15,No,residential,7,Low,6
Saturday,Clear,298.42,0.0,No,office,11,Low,11
Friday,Clear,300.89,0.0,No,market,18,Medium,16
Thursday,Haze,294.31,0.0,No,residential,10,Medium,8
Tuesday,Haze,298.87,0.0,No,mall,18,Medium,17
Sunday,Clear,305.27,0.0,No,market,10,Low,10
Monday,Thunderstorm,291.19,2.86,No,residential,20,Medium,18
Wednesday,Clouds,302.38,0.05,No,office,8,Medium,5
Tuesday,Drizzle,295.71,0.3,No,office,9,Medium,6
Wednesday,Clear,293.5,0.0,No,office,9,Medium,7
Saturday,Clear,293.94,0.0,No,office,12,Low,11
Friday,Haze,291.9,0.0,No,office,10,Medium,8
Friday,Rain,300.83,1.04,No,office,8,High,5
Friday,Clouds,303.3,0.06,No,mall,11,Low,11
Tuesday,Clouds,294.12,0.16,No,mall,11,Low,10
Saturday,Haze,297.33,0.0,No,market,20,Medium,18
Monday,Haze,290.55,0.0,No,mall,19,Medium,18
Friday,Rain,287.01,0.76,No,residential,9,Medium,6
Wednesday,Haze,289.97,0.0,No,station,19,Medium,17
Thursday,Clear,298.62,0.0,No,mall,12,Low,12
Wednesday,Rain,289.27,1.85,No,station,18,High,15
Monday,Clear,302.49,0.0,No,station,18,Medium,15
Thursday,Clear,294.58,0.0,No,mall,13,Low,13
Wednesday,Drizzle,290.1,0.33,No,market,10,Medium,8
Saturday,Clear,307.61,0.0,No,residential,19,Low,19
Tuesday,Clouds,297.31,0.14,No,office,9,Medium,7
Wednesday,Clouds,294.5,0.1,No,mall,13,Low,13
Friday,Clouds,304.94,0.07,No,residential,10,Low,10
Monday,Clear,306.06,0.0,No,residential,19,Low,18
Wednesday,Rain,286.3,0.74,No,office,8,Medium,5
Tuesday,Haze,294.93,0.0,No,residential,20,Medium,19
Wednesday,Fog,282.4,0.0,No,station,17,Medium,14
Thursday,Clouds,301.65,0.16,No,office,10,Medium,8
Friday,Rain,286.14,1.83,No,residential,7,Medium,5
Tuesday,Clear,305.18,0.0,No,market,11,Low,11
Wednesday,Clear,310.88,0.0,No,residential,9,Low,9
Saturday,Fog,289.36,0.0,No,office,12,Low,10
Wednesday,Rain,290.87,0.79,No,mall,12,Low,11
Tuesday,Rain,299.94,1.67,No,mall,17,Medium,15
Wednesday,Clear,306.72,0.0,No,market,10,Low,10
Tuesday,Clouds,306.33,0.1,No,residential,9,Low,8
Saturday,Thunderstorm,295.97,2.55,No,residential,19,Medium,17
Tuesday,Clouds,292.26,0.1,No,station,17,Medium,14
Friday,Clear,294.79,0.0,No,office,8,Medium,5
Friday,Rain,299.14,1.6,No,office,8,High,5
Thursday,Clear,295.25,0.0,No,office,8,Medium,5
Monday,Drizzle,294.5,1.18,No,station,7,High,4
Friday,Clear,295.42,0.0,No,residential,10,Low,10
Tuesday,Clear,306.83,0.0,No,office,8,Medium,5
Wednesday,Clouds,300.73,0.13,No,office,8,Medium,5
Friday,Clear,298.91,0.0,No,office,10,Medium,8
Tuesday,Rain,289.92,1.04,No,station,7,High,4
Thursday,Clouds,297.16,0.15,No,market,20,Medium,18
Tuesday,Clear,306.53,0.0,No,office,10,Medium,8
Tuesday,Clouds,302.78,0.18,Yes,market,10,Medium,9
Sunday,Clouds,304.18,0.07,No,station,18,Low,18
Wednesday,Clouds,294.57,0.01,No,station,19,Medium,16
Sunday,Haze,296.27,0.0,No,office,10,Medium,9
Sunday,Clouds,291.71,0.12,No,office,11,Low,11
Friday,Clouds,299.55,0.04,No,mall,11,Low,11
Tuesday,Fog,286.9,0.0,No,office,10,Medium,7
Thursday,Clear,301.67,0.0,No,market,18,Medium,16
Wednesday,Haze,297.51,0.0,No,station,19,Medium,17
Wednesday,Clouds,304.35,0.11,No,residential,9,Low,9
Friday,Drizzle,287.99,1.08,No,office,8,High,5
Wednesday,Clouds,304.13,0.04,Yes,station,18,Medium,16
Thursday,Clouds,292.37,0.01,No,office,10,Medium,8
Thursday,Clouds,297.77,0.14,No,station,6,Low,5
Thursday,Fog,280.35,0.0,No,mall,13,Low,12
Tuesday,Drizzle,292.54,0.38,No,residential,19,Medium,16
Wednesday,Clear,307.14,0.0,No,residential,20,Low,20
Friday,Clear,304.07,0.0,No,mall,13,Low,13
Thursday,Clouds,298.6,0.0,No,market,12,Low,12
Saturday,Fog,279.25,0.0,No,mall,11,Low,10
Thursday,Clouds,306.16,0.09,No,office,9,Medium,7
Tuesday,Clouds,305.63,0.12,No,market,11,Low,11
Monday,Haze,299.6,0.0,No,office,10,Medium,8
Friday,Clear,312.87,0.0,No,market,11,Low,11
Monday,Drizzle,295.62,0.95,Yes,office,9,Medium,6
Thursday,Clear,302.28,0.0,No,station,18,Medium,16
Tuesday,Fog,282.18,0.0,No,mall,11,Low,9
Monday,Clear,302.25,0.0,No,residential,10,Low,10
Friday,Clear,307.01,0.0,No,office,9,Medium,7
Saturday,Clouds,295.56,0.06,No,residential,17,Low,17
Friday,Haze,294.17,0.0,No,residential,19,Medium,17
Wednesday,Drizzle,297.49,0.61,No,residential,17,Medium,15
Sunday,Rain,286.4,2.03,No,office,11,Medium,9
Monday,Clouds,299.55,0.12,No,mall,13,Low,13
Monday,Drizzle,297.76,0.93,No,station,7,Medium,4
Wednesday,Clouds,296.9,0.05,No,station,17,Medium,15
Friday,Thunderstorm,303.94,2.78,No,mall,17,Medium,15
Thursday,Rain,291.5,2.17,No,station,8,High,5
Wednesday,Clear,294.06,0.0,No,office,8,Medium,6
Friday,Haze,290.64,0.0,No,mall,21,Medium,19
Monday,Haze,293.65,0.0,No,residential,7,Medium,6
Monday,Fog,288.33,0.0,No,mall,18,Medium,16
Monday,Clouds,298.63,0.08,No,office,8,Medium,6
Monday,Drizzle,296.23,0.25,No,market,19,Medium,16
Thursday,Rain,290.36,2.06,No,mall,19,Medium,17
Friday,Haze,287.92,0.0,No,station,6,Low,5
Saturday,Rain,297.91,1.69,Yes,office,10,Medium,8
Monday,Rain,290.9,1.86,No,office,8,High,5
Wednesday,Clear,298.65,0.0,No,station,8,Medium,5
Monday,Rain,292.88,1.44,No,mall,17,Medium,15
Friday,Fog,279.92,0.0,Yes,station,19,High,16
Tuesday,Drizzle,297.59,0.21,No,residential,10,Medium,8
Monday,Rain,292.28,1.36,No,mall,11,Medium,9
Monday,Drizzle,300.86,0.54,No,residential,8,Medium,6
Sunday,Rain,296.66,1.08,Yes,mall,17,High,14
Monday,Clouds,299.82,0.13,No,office,9,Medium,6
Sunday,Clear,303.93,0.0,No,station,18,Low,17
Tuesday,Thunderstorm,295.52,2.39,No,market,11,Medium,9
Friday,Clear,306.98,0.0,No,residential,17,Low,17
Monday,Clouds,304.42,0.03,No,mall,21,Medium,20
Tuesday,Clear,297.25,0.0,No,mall,11,Low,11
Monday,Clear,303.74,0.0,No,mall,18,Medium,17
Thursday,Clear,297.43,0.0,No,residential,9,Low,9
Monday,Clouds,300.93,0.18,No,market,10,Low,10
Wednesday,Clouds,297.04,0.05,Yes,office,10,Medium,8
Monday,Rain,295.48,0.51,No,mall,17,Medium,15
Sunday,Clear,310.53,0.0,No,station,17,Low,16
Wednesday,Clear,304.87,0.0,No,residential,9,Low,8
Tuesday,Drizzle,289.6,0.87,No,mall,17,Medium,15
Saturday,Clouds,293.17,0.05,No,office,11,Low,11
Friday,Clear,309.02,0.0,No,office,9,Medium,7
Friday,Clear,307.01,0.0,No,residential,9,Low,9
Monday,Fog,286.31,0.0,No,station,18,Medium,15
Friday,Clear,295.24,0.0,No,residential,19,Low,19
Wednesday,Clouds,297.88,0.19,No,residential,18,Low,18
Wednesday,Fog,289.82,0.0,No,mall,11,Low,9
Thursday,Rain,286.14,2.16,No,market,18,Medium,15
Thursday,Rain,289.69,2.13,No,residential,9,Medium,7
Friday,Clear,308.08,0.0,No,station,7,Medium,5
Tuesday,Clouds,300.63,0.17,No,office,9,Medium,7
Monday,Clouds,294.74,0.04,No,office,9,Medium,7
Monday,Clouds,302.08,0.14,No,station,8,Medium,6
Monday,Clear,307.29,0.0,No,residential,7,Low,7
Monday,Rain,287.16,1.99,No,mall,19,Medium,17
Monday,Clouds,297.1,0.18,No,market,11,Low,10
Tuesday,Clouds,303.48,0.05,No,residential,7,Low,6
Wednesday,Haze,288.59,0.0,No,mall,12,Low,12
Friday,Clouds,305.02,0.14,No,station,6,Low,4
Tuesday,Rain,287.71,1.77,No,market,10,Medium,8
Sunday,Rain,297.61,1.9,Yes,office,10,Medium,7
Wednesday,Rain,288.45,0.7,No,office,8,Medium,5
Wednesday,Drizzle,292.27,1.17,No,residential,18,Medium,16
Wednesday,Clear,303.24,0.0,No,market,11,Low,11
Monday,Clear,293.72,0.0,No,residential,17,Low,16
Sunday,Fog,286.95,0.0,No,residential,10,Medium,8
Friday,Clear,309.93,0.0,No,mall,21,Medium,19
Saturday,Drizzle,289.84,0.99,No,office,11,Low,10
Sunday,Clear,296.03,0.0,No,residential,18,Low,18
Thursday,Fog,292.02,0.0,No,mall,12,Low,11
Friday,Clear,305.02,0.0,No,station,19,Medium,17
Tuesday,Rain,297.24,2.14,No,residential,10,Medium,7
Sunday,Haze,290.83,0.0,No,office,11,Low,11
Tuesday,Rain,289.1,0.63,No,office,8,Medium,5
Wednesday,Clouds,297.94,0.15,No,mall,18,Medium,17
Thursday,Clouds,305.21,0.16,No,market,17,Medium,15
Sunday,Clouds,299.59,0.2,No,mall,17,Medium,14
Sunday,Drizzle,286.95,0.41,No,residential,19,Medium,17
Tuesday,Clouds,305.44,0.11,No,office,8,Medium,6
Thursday,Fog,287.34,0.0,No,market,11,Low,10
Thursday,Clear,310.07,0.0,No,mall,21,Medium,19
Saturday,Clouds,302.2,0.2,No,office,10,Low,9
Monday,Thunderstorm,303.21,2.3,No,market,10,Medium,8
Friday,Rain,290.12,1.04,No,office,9,High,6
Wednesday,Clear,312.22,0.0,No,mall,21,Medium,20
Monday,Clouds,299.02,0.07,No,residential,8,Low,8
Monday,Clear,311.65,0.0,No,market,17,Medium,15
Tuesday,Clear,310.93,0.0,No,market,19,Medium,16
Tuesday,Rain,293.47,0.69,No,market,19,Medium,16
Saturday,Clear,303.58,0.0,No,station,19,Low,19
Tuesday,Clear,301.6,0.0,No,mall,21,Medium,19
Tuesday,Clear,294.24,0.0,No,mall,12,Low,12
Saturday,Clear,311.55,0.0,No,market,18,Medium,16
Monday,Rain,288.03,0.72,No,station,17,Medium,14
Wednesday,Clear,293.53,0.0,No,market,11,Low,11
Friday,Clouds,300.67,0.02,No,office,9,Medium,7
Tuesday,Clouds,302.06,0.1,No,office,10,Medium,8
Thursday,Fog,283.82,0.0,No,office,9,Medium,6
Saturday,Clear,297.69,0.0,No,market,19,Medium,16
Tuesday,Clear,300.27,0.0,No,residential,9,Low,9
Friday,Clouds,291.48,0.07,Yes,office,8,Medium,5
Monday,Clear,296.75,0.0,No,office,9,Medium,7
Friday,Rain,291.48,0.67,No,market,20,Medium,17
Wednesday,Rain,294.49,1.45,No,mall,17,Medium,15
Sunday,Rain,297.95,1.41,No,mall,20,High,17
Wednesday,Clear,297.2,0.0,No,mall,18,Medium,17
Sunday,Drizzle,299.79,0.71,No,station,7,Medium,5
Tuesday,Thunderstorm,301.59,2.13,No,office,10,High,7
Tuesday,Clear,296.66,0.0,No,station,17,Medium,15
Tuesday,Clear,310.94,0.0,No,residential,19,Low,18
Saturday,Clear,294.11,0.0,No,office,12,Low,11
Tuesday,Clouds,295.36,0.17,No,market,10,Low,10
Friday,Rain,286.22,1.82,No,mall,11,Medium,9
Thursday,Clear,309.56,0.0,No,office,9,Medium,7
Wednesday,Rain,285.77,1.04,No,office,9,High,6
Sunday,Clear,312.55,0.0,No,residential,18,Low,18
Thursday,Clear,298.43,0.0,No,station,8,Medium,6
Thursday,Haze,292.21,0.0,No,mall,17,Medium,16
Monday,Clear,298.07,0.0,No,market,20,Medium,18
Friday,Clear,307.58,0.0,No,office,9,Medium,7
Monday,Fog,285.02,0.0,No,office,8,Medium,5
Wednesday,Clouds,299.63,0.1,No,residential,20,Low,20
Wednesday,Clear,305.04,0.0,No,station,7,Medium,5
Wednesday,Clouds,295.77,0.12,No,mall,11,Low,10
Friday,Rain,300.91,2.1,No,mall,17,Medium,15
Tuesday,Clear,296.77,0.0,No,residential,19,Low,19
Tuesday,Clear,304.72,0.0,No,office,8,Medium,6
Friday,Clear,298.66,0.0,No,mall,20,Medium,19
Wednesday,Clear,312.36,0.0,No,market,10,Low,10
Tuesday,Clouds,295.06,0.09,No,residential,19,Low,19
Saturday,Clouds,295.91,0.14,Yes,office,10,Low,10
