area_type,hour,day_of_week,holiday,traffic_level,parking_availability
residential,4,Thursday,Yes,Low,High
station,16,Monday,No,Low,Medium
office,20,Friday,No,Medium,Low
residential,16,Monday,No,Low,High
residential,15,Thursday,Yes,Low,High
office,14,Wednesday,No,Low,High
residential,22,Thursday,No,Low,High
residential,8,Monday,No,Medium,Medium
market,6,Saturday,No,Low,Medium
market,19,Thursday,No,Medium,Low
mall,21,Thursday,No,Medium,Low
office,20,Friday,No,Medium,Low
mall,20,Wednesday,No,Medium,Medium
office,14,Thursday,No,Low,High
market,9,Thursday,No,Medium,Medium
mall,5,Monday,No,Low,High
market,10,Friday,No,Low,Medium
mall,17,Saturday,No,Medium,Low
market,9,Monday,No,Medium,Medium
office,1,Saturday,No,Low,High
office,2,Thursday,No,Low,High
station,23,Sunday,No,Low,High
office,8,Friday,No,Medium,Low
office,20,Friday,No,High,Low
residential,21,Monday,No,Medium,Low
residential,3,Monday,No,Low,High
market,12,Friday,No,Low,Medium
office,15,Monday,No,Low,High
mall,18,Saturday,No,Medium,Low
mall,22,Monday,No,Low,High
office,20,Wednesday,No,Medium,Low
office,14,Tuesday,No,Low,High
office,17,Monday,No,Medium,Low
office,16,Saturday,No,Medium,High
market,8,Saturday,No,Low,High
station,15,Thursday,No,Low,Medium
market,14,Tuesday,No,Medium,Low
residential,12,Monday,No,Medium,Low
market,14,Friday,No,Medium,Medium
office,23,Wednesday,No,Low,High
residential,22,Tuesday,No,Low,High
mall,22,Friday,No,Low,Medium
market,22,Wednesday,No,Low,High
mall,7,Tuesday,No,Low,High
station,3,Sunday,No,Low,High
residential,15,Friday,No,Low,High
office,20,Wednesday,No,Medium,Low
residential,23,Saturday,No,Low,High
residential,6,Thursday,No,Low,High
office,10,Monday,No,Medium,Low
market,3,Saturday,No,Low,High
mall,2,Sunday,No,Low,Medium
office,16,Thursday,No,Low,Medium
residential,0,Thursday,No,Low,High
office,17,Sunday,No,Medium,High
office,12,Monday,Yes,Low,High
market,5,Sunday,No,Low,Medium
mall,7,Monday,No,Medium,High
residential,3,Friday,Yes,Low,High
market,20,Wednesday,No,Medium,Low
market,0,Tuesday,Yes,Medium,Medium
office,19,Thursday,No,Medium,Medium
station,1,Saturday,No,Low,High
mall,1,Saturday,Yes,Low,High
residential,13,Sunday,No,Low,High
office,10,Friday,No,Medium,Low
office,7,Friday,No,Medium,High
residential,19,Wednesday,No,Medium,Low
residential,8,Tuesday,No,Low,High
office,12,Thursday,No,Low,High
market,17,Sunday,No,Medium,Low
office,15,Monday,No,Low,High
market,2,Sunday,No,Low,Medium
office,6,Thursday,No,Low,High
mall,14,Monday,No,Low,High
office,11,Saturday,No,Low,High
market,4,Saturday,No,Low,Medium
residential,8,Monday,No,Low,High
office,8,Friday,No,Medium,Low
station,9,Monday,No,High,Low
office,7,Wednesday,No,Medium,Medium
mall,5,Tuesday,No,Low,High
market,9,Sunday,Yes,Medium,Medium
mall,4,Friday,No,Low,High
station,8,Thursday,No,Medium,Low
residential,16,Thursday,No,Low,High
mall,15,Sunday,Yes,Medium,Medium
residential,21,Tuesday,No,Low,Medium
mall,21,Tuesday,No,Medium,High
office,4,Thursday,No,Low,High
station,21,Thursday,No,Medium,Low
residential,2,Tuesday,No,Low,High
office,19,Friday,No,Medium,Low
office,14,Tuesday,No,Low,High
office,8,Thursday,No,Medium,Low
office,4,Wednesday,No,Low,High
office,7,Friday,No,Medium,Low
residential,15,Thursday,No,Low,Medium
office,18,Sunday,No,Medium,High
mall,16,Wednesday,No,Low,High
office,3,Friday,No,Low,High
mall,0,Monday,No,Low,Medium
residential,23,Thursday,No,Low,High
mall,0,Sunday,No,Low,High
market,12,Tuesday,No,Low,High
mall,4,Tuesday,No,Low,High
residential,12,Tuesday,No,Low,High
station,18,Tuesday,No,Medium,Medium
market,8,Sunday,No,Low,High
office,13,Friday,No,Medium,High
market,0,Monday,No,Low,High
station,2,Sunday,No,Low,High
station,12,Friday,No,Low,Medium
market,0,Friday,No,Low,High
office,18,Tuesday,No,Medium,Medium
office,6,Thursday,No,Low,High
office,16,Saturday,No,Low,High
mall,18,Monday,No,Medium,High
office,14,Wednesday,No,Medium,Medium
office,19,Wednesday,No,High,Low
mall,3,Monday,No,Low,High
office,19,Wednesday,No,Medium,Low
mall,9,Saturday,No,Low,Medium
office,22,Sunday,No,Low,High
office,19,Thursday,No,Medium,Low
office,0,Monday,No,Low,High
residential,11,Wednesday,No,Low,High
residential,12,Thursday,No,Low,Medium
residential,6,Thursday,No,Low,High
office,3,Thursday,No,Low,High
residential,15,Saturday,Yes,Low,High
mall,1,Wednesday,No,Low,High
station,7,Saturday,No,Low,Medium
mall,17,Sunday,No,Medium,Medium
market,20,Monday,No,Medium,Low
market,14,Monday,No,Low,Medium
office,9,Sunday,No,Medium,High
residential,20,Sunday,No,Low,High
mall,11,Saturday,No,Low,High
mall,0,Friday,No,Low,High
mall,19,Friday,No,Medium,Medium
market,11,Tuesday,No,Low,Medium
office,22,Saturday,No,Low,High
mall,22,Thursday,No,Low,High
market,11,Monday,No,Low,Medium
residential,8,Sunday,No,Medium,Medium
residential,21,Wednesday,No,Medium,Low
mall,9,Friday,No,Low,High
mall,17,Saturday,No,Medium,Low
residential,9,Tuesday,No,Medium,High
mall,21,Friday,Yes,Medium,Low
office,22,Thursday,No,Low,High
mall,1,Thursday,No,Low,High
residential,16,Sunday,No,Low,High
mall,0,Friday,No,Low,High
mall,3,Thursday,No,Low,High
office,4,Sunday,No,Low,High
office,1,Sunday,No,Low,High
residential,22,Sunday,No,Low,High
mall,0,Tuesday,No,Low,High
office,5,Sunday,No,Low,High
residential,16,Friday,No,Low,Medium
residential,4,Monday,No,Low,High
office,3,Thursday,No,Low,High
residential,2,Thursday,No,Low,High
office,21,Friday,Yes,Low,High
office,8,Monday,No,Medium,Low
station,18,Wednesday,No,High,Low
residential,11,Friday,No,Low,Medium
mall,6,Friday,No,Low,High
market,2,Tuesday,No,Low,High
residential,2,Wednesday,No,Low,High
office,16,Saturday,No,Low,High
office,1,Thursday,No,Low,High
station,5,Friday,No,Low,High
market,11,Monday,No,Low,Low
office,22,Wednesday,No,Low,High
station,14,Wednesday,No,Low,High
residential,14,Wednesday,No,Low,High
mall,3,Monday,No,Low,High
market,16,Thursday,No,Medium,High
station,13,Friday,No,Low,High
market,5,Friday,No,Low,High
market,21,Thursday,No,Medium,Medium
mall,12,Wednesday,No,Low,High
residential,1,Wednesday,No,Low,High
residential,6,Saturday,No,Low,High
station,15,Wednesday,No,Low,High
mall,21,Monday,No,Medium,Medium
residential,3,Thursday,No,Low,High
station,17,Thursday,No,Medium,Medium
residential,21,Monday,No,Low,Medium
station,14,Monday,No,Low,High
station,11,Wednesday,No,Low,High
residential,4,Sunday,No,Low,High
office,10,Sunday,No,Medium,High
office,15,Thursday,No,Low,Medium
office,14,Wednesday,No,Low,High
station,18,Sunday,No,Low,Medium
office,5,Wednesday,No,Low,High
office,22,Wednesday,No,Low,High
market,8,Friday,No,Medium,Medium
mall,13,Tuesday,No,Low,Medium
office,10,Friday,No,Medium,Medium
office,12,Sunday,No,Low,High
station,2,Wednesday,No,Low,High
office,14,Thursday,No,Low,High
office,11,Monday,No,Low,High
office,18,Monday,No,Medium,Low
market,13,Sunday,No,Medium,Low
office,15,Thursday,No,Low,High
market,20,Saturday,No,Medium,Low
station,4,Saturday,No,Low,High
office,12,Saturday,No,Low,High
office,19,Monday,No,Medium,Low
office,8,Wednesday,No,Medium,Low
residential,7,Tuesday,No,Medium,Medium
market,21,Saturday,No,Medium,Low
market,3,Saturday,No,Low,Medium
mall,15,Monday,No,Low,High
residential,15,Saturday,Yes,Low,Medium
mall,9,Thursday,No,Low,High
market,21,Wednesday,No,Medium,Low
residential,18,Tuesday,No,Low,Low
office,20,Monday,No,Medium,Low
market,5,Monday,No,Low,High
mall,1,Tuesday,No,Low,High
mall,11,Wednesday,No,Low,High
market,1,Tuesday,Yes,Low,High
station,3,Friday,No,Low,High
market,19,Sunday,No,Medium,Low
office,11,Monday,No,Low,Low
station,23,Thursday,No,Low,High
residential,16,Friday,No,Low,High
office,6,Sunday,No,Low,High
residential,18,Tuesday,No,Low,Medium
market,5,Saturday,No,Low,Medium
mall,4,Sunday,No,Low,High
market,0,Friday,No,Low,High
residential,13,Sunday,No,Low,High
residential,12,Wednesday,No,Low,High
residential,6,Monday,No,Low,High
office,17,Tuesday,No,Medium,Low
station,17,Thursday,Yes,Medium,Low
office,21,Sunday,No,Low,High
residential,23,Friday,No,Low,High
mall,12,Thursday,No,Low,High
mall,21,Thursday,No,Medium,Low
residential,2,Monday,No,Low,High
residential,19,Thursday,No,Low,Medium
office,20,Saturday,No,Low,High
mall,12,Monday,No,Medium,High
office,6,Tuesday,No,Low,High
market,2,Saturday,No,Low,High
market,0,Friday,No,Low,High
mall,3,Sunday,No,Low,High
residential,21,Tuesday,No,Low,Medium
residential,22,Wednesday,No,Low,High
mall,14,Thursday,No,Medium,Low
mall,6,Friday,No,Low,Medium
office,1,Tuesday,No,Low,High
station,2,Wednesday,No,Low,High
office,10,Wednesday,Yes,Medium,High
residential,16,Monday,No,Medium,High
office,16,Monday,No,Medium,Low
station,3,Friday,No,Low,High
mall,21,Tuesday,Yes,Medium,Low
office,17,Tuesday,No,Medium,Low
mall,6,Monday,No,Low,High
mall,16,Monday,Yes,Medium,Low
residential,8,Saturday,No,Low,Medium
office,6,Thursday,No,Low,High
residential,16,Tuesday,No,Low,High
office,16,Tuesday,No,Low,High
residential,11,Tuesday,No,Low,High
office,2,Thursday,No,Low,Medium
mall,1,Sunday,No,Low,High
residential,0,Tuesday,No,Low,High
market,19,Friday,No,Medium,Low
office,11,Wednesday,No,Medium,Medium
station,17,Sunday,No,Low,High
office,6,Monday,No,Low,Medium
residential,0,Thursday,No,Low,High
market,1,Sunday,No,Low,High
office,5,Monday,No,Low,High
station,16,Saturday,No,Low,High
office,2,Tuesday,No,Low,High
station,1,Saturday,No,Low,High
office,6,Saturday,No,Low,High
residential,12,Thursday,No,Low,Medium
residential,7,Saturday,No,Medium,Medium
mall,12,Sunday,No,Medium,Low
station,4,Wednesday,No,Low,High
residential,4,Monday,No,Low,High
station,13,Tuesday,No,Low,Medium
mall,7,Tuesday,No,Medium,High
station,19,Saturday,No,Low,Low
market,12,Saturday,No,Medium,Low
mall,15,Wednesday,No,Low,High
office,17,Sunday,No,Medium,High
office,8,Tuesday,No,Medium,Low
market,2,Friday,No,Low,Medium
mall,3,Sunday,Yes,Medium,Medium
mall,5,Thursday,Yes,Low,High
office,2,Thursday,No,Low,High
office,2,Thursday,No,Low,Medium
office,3,Sunday,No,Low,High
office,1,Wednesday,No,Low,High
residential,4,Thursday,No,Low,High
residential,2,Tuesday,No,Low,High
market,17,Wednesday,No,Medium,Low
mall,18,Monday,No,Medium,Medium
residential,18,Tuesday,No,Low,Medium
office,1,Saturday,No,Low,High
station,17,Wednesday,No,Medium,Low
market,12,Wednesday,No,Low,Low
residential,9,Tuesday,No,Medium,Medium
residential,0,Wednesday,No,Low,High
office,10,Wednesday,No,Medium,Medium
office,7,Wednesday,No,Medium,Low
station,1,Friday,No,Low,High
office,3,Monday,No,Low,High
market,0,Thursday,No,Low,High
office,14,Tuesday,No,Low,High
mall,19,Thursday,No,Medium,High
office,23,Tuesday,No,Low,High
residential,15,Friday,No,Low,High
residential,13,Monday,No,Low,High
market,15,Thursday,No,Low,High
mall,21,Sunday,No,Medium,Medium
residential,23,Saturday,No,Low,High
station,17,Tuesday,No,High,Low
station,12,Saturday,No,Medium,Medium
residential,11,Wednesday,No,Low,High
mall,18,Saturday,No,Medium,Low
station,14,Tuesday,Yes,Medium,Medium
mall,12,Friday,No,Low,High
residential,9,Wednesday,No,Low,Medium
mall,15,Tuesday,No,Low,High
station,22,Friday,No,Low,High
office,18,Saturday,No,Medium,High
market,17,Friday,No,Medium,Low
mall,21,Friday,No,Medium,High
mall,15,Saturday,No,Medium,Medium
mall,3,Saturday,No,Low,High
residential,3,Tuesday,No,Low,High
market,8,Sunday,No,Low,High
office,9,Tuesday,Yes,Medium,High
mall,5,Sunday,No,Low,Medium
residential,0,Wednesday,No,Low,High
mall,19,Monday,No,Medium,Medium
mall,8,Sunday,No,Low,Medium
market,11,Monday,No,Low,Medium
office,1,Sunday,No,Low,High
residential,11,Thursday,No,Low,Medium
mall,22,Monday,No,Low,High
office,16,Sunday,No,Low,High
mall,12,Thursday,No,Low,High
office,11,Thursday,No,Low,High
office,19,Thursday,No,Medium,Medium
residential,22,Thursday,No,Low,High
mall,18,Thursday,No,Medium,Medium
market,14,Thursday,No,Low,Low
mall,12,Monday,No,Medium,Medium
office,20,Monday,Yes,Medium,Medium
market,21,Sunday,Yes,Medium,Low
mall,0,Thursday,No,Low,High
office,2,Wednesday,No,Low,High
mall,9,Friday,No,Medium,Medium
mall,18,Saturday,No,Medium,Medium
station,2,Sunday,No,Low,High
market,17,Sunday,Yes,High,Low
market,2,Tuesday,No,Low,High
station,6,Monday,No,Low,Medium
office,19,Thursday,No,Medium,Low
residential,21,Tuesday,No,Medium,Low
office,22,Wednesday,No,Low,Medium
station,0,Sunday,Yes,Low,High
residential,13,Saturday,No,Medium,Medium
market,22,Thursday,No,Low,High
office,5,Sunday,No,Low,High
market,20,Tuesday,No,Medium,Low
mall,3,Wednesday,No,Low,High
market,8,Wednesday,No,Low,High
residential,14,Wednesday,No,Low,High
residential,3,Monday,No,Low,High
office,22,Saturday,Yes,Low,High
residential,20,Friday,No,Low,High
market,19,Monday,No,Medium,Low
office,10,Monday,No,Medium,Low
residential,5,Thursday,No,Low,High
office,19,Thursday,No,Medium,Low
residential,3,Thursday,No,Low,High
station,20,Monday,No,Medium,Low
mall,3,Thursday,No,Low,Medium
office,6,Wednesday,No,Low,High
market,22,Sunday,No,Low,High
office,20,Monday,No,Medium,Low
office,21,Thursday,No,Low,High
residential,13,Sunday,No,Low,High
residential,1,Tuesday,Yes,Low,High
mall,1,Friday,No,Low,High
office,11,Thursday,Yes,Low,High
mall,9,Monday,No,Low,High
office,0,Monday,No,Low,High
mall,9,Tuesday,No,Medium,Medium
residential,15,Wednesday,No,Low,High
office,5,Saturday,No,Low,High
mall,13,Thursday,No,Low,High
mall,16,Monday,No,Low,High
office,2,Tuesday,No,Low,Medium
mall,20,Sunday,No,Medium,Low
mall,17,Monday,No,Medium,Medium
office,6,Tuesday,No,Low,High
residential,3,Sunday,Yes,Low,High
office,3,Saturday,No,Low,High
residential,15,Thursday,No,Low,High
station,21,Wednesday,No,Medium,Medium
station,5,Monday,No,Low,High
office,6,Thursday,No,Low,High
office,6,Wednesday,No,Low,Medium
mall,2,Friday,No,Low,High
station,22,Friday,Yes,Low,High
mall,12,Wednesday,No,Low,Medium
office,8,Wednesday,No,Medium,Low
mall,1,Wednesday,No,Low,High
market,7,Friday,No,Low,High
residential,23,Sunday,No,Low,High
mall,18,Wednesday,No,Medium,Medium
office,12,Tuesday,No,Low,High
market,15,Sunday,Yes,Medium,Medium
station,13,Wednesday,No,Low,High
market,18,Tuesday,No,Medium,Medium
office,3,Saturday,No,Low,High
station,22,Tuesday,No,Low,High
office,13,Monday,No,Low,Medium
market,0,Tuesday,No,Low,Medium
mall,18,Monday,No,Medium,Medium
residential,17,Sunday,No,Medium,Low
residential,19,Monday,No,Medium,Low
residential,17,Tuesday,No,Medium,High
office,12,Saturday,No,Low,High
office,18,Saturday,No,Low,High
residential,10,Tuesday,Yes,Medium,Medium
station,14,Saturday,Yes,Medium,Low
station,19,Saturday,No,Low,Low
station,2,Wednesday,No,Low,High
station,9,Thursday,No,Medium,Low
mall,20,Wednesday,No,Medium,Medium
office,6,Monday,No,Low,Medium
market,1,Friday,Yes,Medium,Medium
office,17,Tuesday,No,Medium,Low
station,0,Tuesday,No,Low,High
market,20,Tuesday,Yes,Medium,Medium
residential,1,Friday,No,Low,High
mall,14,Friday,No,Low,High
mall,9,Wednesday,No,Low,High
residential,16,Wednesday,No,Low,High
market,19,Sunday,No,Medium,Low
residential,21,Saturday,No,Low,High
mall,4,Wednesday,No,Low,High
residential,13,Tuesday,No,Low,High
office,19,Sunday,No,Low,High
residential,5,Thursday,No,Low,High
station,16,Sunday,No,Low,High
office,0,Tuesday,No,Low,Medium
mall,15,Thursday,No,Low,High
office,7,Saturday,No,Low,High
mall,13,Wednesday,No,Low,High
mall,10,Wednesday,No,Medium,High
residential,1,Thursday,No,Low,High
mall,13,Sunday,No,Medium,Medium
office,0,Friday,No,Low,High
station,14,Saturday,No,Medium,Medium
market,0,Saturday,No,Low,High
office,13,Tuesday,No,Medium,Medium
mall,18,Thursday,No,Medium,Medium
residential,3,Tuesday,No,Low,High
market,14,Friday,No,Low,High
residential,21,Tuesday,No,Medium,Low
market,15,Monday,No,Low,High
market,22,Monday,No,Low,High
office,12,Monday,No,Low,High
market,1,Sunday,Yes,Low,High
residential,22,Sunday,No,Low,High
station,0,Wednesday,No,Low,High
residential,14,Monday,No,Low,High
mall,12,Friday,No,Low,High
market,6,Monday,No,Low,High
office,14,Wednesday,No,Low,High
residential,6,Friday,No,Low,High
market,23,Thursday,No,Low,High
residential,0,Friday,No,Low,High
mall,7,Thursday,No,Medium,High
office,15,Thursday,No,Low,High
mall,13,Monday,No,Low,High
office,18,Tuesday,No,Medium,Medium
mall,7,Sunday,No,Low,High
mall,11,Monday,No,Low,High
residential,15,Tuesday,No,Low,Medium
residential,0,Monday,No,Low,High
office,3,Friday,No,Low,High
station,9,Friday,No,Medium,Low
residential,2,Friday,No,Low,High
office,15,Thursday,No,Low,High
residential,4,Friday,No,Low,High
residential,15,Saturday,No,Low,High
residential,17,Monday,No,Medium,Low
mall,17,Thursday,No,Medium,Medium
office,15,Saturday,Yes,Low,High
mall,10,Wednesday,No,Medium,High
mall,0,Tuesday,No,Low,Medium
mall,6,Sunday,No,Low,High
residential,17,Friday,No,Low,High
mall,6,Saturday,Yes,Low,High
office,3,Wednesday,No,Low,High
market,20,Wednesday,No,Medium,Low
market,15,Thursday,No,Low,High
station,13,Tuesday,No,Low,Medium
residential,7,Thursday,No,Low,High
station,1,Sunday,No,Low,High
office,2,Friday,No,Low,High
mall,15,Saturday,No,Medium,Low
mall,5,Wednesday,No,Low,High
mall,14,Thursday,No,Low,High
mall,15,Saturday,Yes,Medium,Low
residential,7,Wednesday,No,Low,High
mall,9,Saturday,No,Low,High
market,20,Tuesday,No,Medium,Medium
office,16,Saturday,No,Low,High
mall,20,Friday,No,Medium,Medium
residential,15,Thursday,No,Medium,High
market,22,Tuesday,No,Low,Medium
station,4,Wednesday,No,Low,High
office,21,Thursday,No,Medium,Low
office,7,Thursday,No,Medium,Medium
mall,22,Sunday,No,Low,Low
mall,10,Friday,No,Low,High
office,22,Sunday,No,Low,High
residential,16,Sunday,No,Low,High
market,8,Tuesday,No,Medium,Medium
office,2,Friday,Yes,Low,High
residential,2,Tuesday,Yes,Low,High
office,4,Wednesday,Yes,Low,High
office,23,Saturday,No,Low,High
mall,5,Monday,No,Low,Medium
office,6,Sunday,No,Low,High
office,23,Thursday,No,Low,High
mall,19,Thursday,No,Medium,Medium
mall,16,Saturday,No,Medium,Low
office,21,Monday,No,Low,High
office,10,Saturday,Yes,Low,High
mall,1,Friday,No,Low,High
market,1,Thursday,No,Low,High
mall,1,Wednesday,No,Low,High
office,19,Friday,No,Medium,Medium
office,22,Tuesday,No,Low,High
office,4,Monday,No,Low,High
office,4,Friday,No,Low,High
residential,4,Friday,No,Low,High
station,3,Friday,No,Low,High
mall,19,Tuesday,No,Medium,Low
office,19,Monday,No,Medium,Low
mall,8,Thursday,No,Low,High
office,22,Tuesday,No,Low,High
market,21,Saturday,No,Medium,Low
office,8,Thursday,No,Medium,Low
residential,5,Thursday,No,Low,High
office,19,Tuesday,No,Medium,Medium
residential,7,Saturday,No,Low,Medium
station,21,Friday,No,Medium,Medium
mall,16,Tuesday,No,Low,High
mall,9,Monday,No,Medium,High
station,13,Saturday,No,Low,High
station,16,Thursday,No,Low,High
station,8,Tuesday,No,Medium,Medium
office,5,Thursday,No,Low,High
office,23,Thursday,No,Low,High
market,8,Tuesday,No,Low,High
market,15,Saturday,No,Medium,Low
mall,20,Monday,No,Medium,High
residential,11,Friday,No,Low,High
mall,5,Tuesday,No,Low,High
office,14,Friday,No,Low,High
station,13,Friday,No,Low,High
residential,0,Sunday,No,Low,High
residential,12,Monday,No,Low,High
mall,14,Friday,No,Low,High
station,21,Wednesday,No,Medium,Low
office,20,Tuesday,No,Medium,Low
office,22,Friday,No,Low,Medium
residential,17,Saturday,No,Low,High
market,3,Saturday,No,Low,Medium
office,11,Saturday,Yes,Low,High
office,8,Wednesday,Yes,Medium,Medium
mall,21,Thursday,No,Medium,High
office,0,Thursday,No,Low,High
office,5,Sunday,No,Low,High
market,1,Thursday,No,Low,High
mall,14,Tuesday,No,Low,High
office,17,Sunday,Yes,Medium,High
station,15,Monday,No,Low,High
station,6,Wednesday,No,Low,High
mall,1,Tuesday,No,Low,High
mall,10,Wednesday,No,Low,High
office,21,Thursday,No,Low,High
market,23,Tuesday,No,Low,Medium
market,15,Sunday,No,Medium,Medium
mall,10,Thursday,No,Low,High
office,16,Tuesday,No,Low,High
mall,6,Wednesday,Yes,Low,High
mall,18,Sunday,No,High,Low
office,4,Thursday,No,Low,Medium
residential,4,Monday,No,Low,High
mall,16,Thursday,No,Low,High
mall,19,Friday,No,Medium,Medium
residential,11,Sunday,No,Low,High
residential,20,Thursday,No,Low,High
mall,17,Friday,No,Medium,Medium
market,4,Wednesday,No,Low,High
mall,20,Tuesday,No,Medium,Medium
market,19,Tuesday,No,Medium,Low
residential,9,Saturday,Yes,Medium,Medium
office,5,Friday,No,Low,High
residential,19,Tuesday,No,Low,Medium
office,22,Thursday,No,Low,Medium
station,5,Saturday,No,Low,High
residential,12,Friday,No,Low,High
mall,16,Monday,No,Medium,Medium
office,19,Monday,No,Medium,Low
residential,9,Sunday,No,Medium,High
station,8,Wednesday,No,Medium,Low
office,2,Tuesday,No,Low,High
mall,12,Friday,No,Low,High
mall,14,Sunday,No,Medium,Low
office,19,Friday,No,Medium,Low
residential,14,Tuesday,No,Low,High
mall,9,Tuesday,No,Low,High
office,8,Monday,No,Medium,Low
office,14,Tuesday,No,Low,High
office,21,Sunday,No,Medium,Medium
station,1,Monday,No,Low,High
station,18,Tuesday,No,Medium,Low
residential,22,Thursday,No,Low,High
mall,1,Friday,No,Low,High
office,15,Thursday,No,Low,Medium
office,14,Monday,No,Low,Medium
residential,22,Thursday,No,Low,High
market,16,Sunday,No,Medium,Low
station,18,Wednesday,No,Medium,Low
market,10,Thursday,No,Medium,Low
residential,12,Thursday,No,Low,High
residential,16,Saturday,No,Low,High
residential,17,Saturday,No,Low,High
residential,5,Tuesday,No,Low,High
office,22,Thursday,No,Low,High
residential,22,Monday,No,Low,High
office,1,Wednesday,No,Low,High
market,10,Friday,No,Medium,Low
market,9,Saturday,No,Low,High
market,4,Tuesday,No,Low,High
office,15,Sunday,No,Low,High
market,22,Sunday,No,Low,High
market,18,Friday,No,Medium,Low
office,0,Friday,No,Low,High
market,3,Thursday,No,Low,High
office,18,Sunday,No,Medium,High
office,4,Monday,No,Low,High
market,10,Friday,No,Low,High
mall,20,Sunday,No,Medium,Medium
office,21,Thursday,No,Medium,Medium
station,7,Monday,No,High,Low
mall,13,Wednesday,No,Low,High
market,23,Friday,No,Low,High
office,3,Wednesday,No,Low,High
office,22,Sunday,No,Low,High
mall,15,Monday,No,Low,High
residential,1,Wednesday,No,Low,High
residential,14,Friday,No,Low,High
office,23,Tuesday,No,Low,High
office,6,Tuesday,No,Low,High
office,12,Friday,Yes,Low,High
office,9,Saturday,No,Medium,High
residential,16,Wednesday,No,Low,High
market,11,Thursday,No,Low,Low
market,2,Monday,No,Low,High
station,2,Wednesday,No,Low,High
market,9,Tuesday,No,Low,High
station,6,Wednesday,No,Low,Low
mall,7,Tuesday,No,Medium,Medium
residential,15,Friday,No,Low,Medium
station,6,Friday,No,Low,High
station,16,Tuesday,No,Low,High
office,6,Wednesday,No,Low,Medium
market,5,Monday,Yes,Low,High
mall,17,Thursday,No,Medium,Medium
residential,1,Tuesday,No,Low,High
market,11,Monday,No,Low,Medium
office,13,Wednesday,No,Low,High
market,23,Wednesday,No,Low,Medium
office,1,Tuesday,No,Low,High
station,21,Thursday,No,Medium,Low
mall,6,Wednesday,No,Low,Medium
market,3,Thursday,No,Low,High
station,5,Wednesday,No,Low,High
office,13,Saturday,Yes,Low,High
station,22,Sunday,No,Low,High
station,10,Thursday,No,Medium,Low
residential,13,Sunday,Yes,Low,High
residential,6,Tuesday,No,Low,High
mall,9,Wednesday,No,Medium,High
station,10,Tuesday,No,Medium,Low
mall,16,Sunday,No,Medium,Low
office,12,Friday,No,Low,High
office,9,Thursday,No,Medium,Medium
office,10,Thursday,No,Medium,Low
market,1,Tuesday,No,Low,High
office,1,Sunday,No,Low,High
station,12,Monday,No,Low,High
office,3,Wednesday,No,Low,High
office,18,Saturday,No,Low,High
market,17,Friday,No,Medium,Medium
mall,17,Friday,No,Medium,Medium
market,0,Friday,No,Low,High
office,22,Tuesday,No,Low,High
office,3,Sunday,No,Low,High
office,22,Thursday,Yes,Low,High
station,11,Wednesday,No,Low,High
mall,8,Friday,No,Low,High
residential,0,Saturday,No,Low,High
office,17,Thursday,No,Medium,Low
office,17,Wednesday,No,High,Low
market,10,Thursday,No,Medium,Low
station,22,Friday,No,Low,High
office,8,Sunday,Yes,Low,High
market,8,Sunday,No,Medium,Medium
office,21,Thursday,No,Low,High
residential,7,Sunday,No,Low,High
station,14,Wednesday,No,Low,High
residential,1,Monday,No,Low,High
market,15,Thursday,No,Low,High
residential,15,Tuesday,No,Medium,Low
mall,11,Monday,No,Low,High
office,5,Monday,No,Low,High
residential,11,Friday,No,Low,High
market,2,Friday,No,Low,Medium
market,4,Friday,No,Low,High
office,10,Wednesday,No,Medium,Medium
office,21,Thursday,No,Low,High
market,4,Saturday,No,Low,Medium
market,7,Saturday,No,Medium,Medium
office,13,Wednesday,No,Low,High
office,22,Tuesday,No,Low,High
mall,9,Tuesday,No,Medium,High
office,2,Friday,No,Low,High
residential,17,Wednesday,No,Medium,Low
office,8,Saturday,No,Medium,Medium
residential,15,Thursday,No,Low,High
station,23,Sunday,No,Low,High
market,8,Friday,No,Medium,Medium
mall,5,Friday,No,Low,High
market,2,Friday,No,Low,High
station,13,Tuesday,No,Low,Medium
office,20,Saturday,No,Low,High
office,3,Tuesday,No,Low,High
market,9,Saturday,No,Low,High
station,17,Monday,No,Medium,Low
mall,3,Wednesday,No,Low,High
office,0,Monday,No,Low,High
office,9,Wednesday,No,Medium,Low
mall,4,Tuesday,No,Low,Medium
residential,16,Friday,No,Low,High
office,5,Saturday,No,Low,High
mall,4,Saturday,No,Low,High
market,23,Friday,No,Low,High
station,21,Thursday,No,Medium,Low
mall,23,Wednesday,No,Low,High
office,11,Friday,No,Low,Medium
mall,10,Friday,No,Medium,Medium
office,13,Wednesday,No,Low,High
market,2,Tuesday,No,Low,Medium
station,13,Wednesday,No,Low,High
market,19,Saturday,No,Medium,Low
residential,6,Thursday,No,Low,High
office,16,Monday,No,Low,Medium
residential,17,Sunday,No,Medium,Medium
mall,11,Friday,No,Low,High
mall,12,Tuesday,No,Low,High
office,17,Thursday,No,Medium,Medium
office,12,Sunday,Yes,Low,High
market,12,Wednesday,No,Low,Low
office,9,Sunday,Yes,Medium,High
market,13,Saturday,Yes,Medium,Low
mall,14,Thursday,No,Low,High
office,2,Wednesday,No,Low,High
residential,0,Wednesday,No,Low,High
office,20,Tuesday,No,Medium,Low
mall,17,Wednesday,No,Medium,Medium
station,5,Wednesday,No,Low,High
